📺央视频道,#genre#
CCTV1,http://115.190.105.236:5566/live/cctv1?token=OK
CCTV10,http://115.190.105.236:5566/live/cctv10?token=OK
CCTV11,http://115.190.105.236:5566/live/cctv11?token=OK
CCTV12,http://115.190.105.236:5566/live/cctv12?token=OK
CCTV13,http://115.190.105.236:5566/live/cctv13?token=OK
CCTV14,http://115.190.105.236:5566/live/cctv14?token=OK
CCTV15,http://115.190.105.236:5566/live/cctv15?token=OK
CCTV16,http://115.190.105.236:5566/live/cctv16?token=OK
CCTV17,http://115.190.105.236:5566/live/cctv17?token=OK
CCTV2,http://115.190.105.236:5566/live/cctv2?token=OK
CCTV3,http://115.190.105.236:5566/live/cctv3?token=OK
CCTV4,http://115.190.105.236:5566/live/cctv4?token=OK
CCTV5,http://115.190.105.236:5566/live/cctv5?token=OK
CCTV5+,http://115.190.105.236:5566/live/cctv5p?token=OK
CCTV6,http://115.190.105.236:5566/live/cctv6?token=OK
CCTV7,http://115.190.105.236:5566/live/cctv7?token=OK
CCTV8,http://115.190.105.236:5566/live/cctv8?token=OK
CCTV9,http://115.190.105.236:5566/live/cctv9?token=OK
📡卫视频道,#genre#
三沙卫视,http://115.190.105.236/hainan.php?id=ssws
东南卫视,http://115.190.105.236/zbzg.php?id=30038
东方卫视,http://115.190.105.236/zbzg.php?id=30023
东方卫视,http://115.190.105.236/shweb.php?id=dfws
云南卫视,http://115.190.105.236/zbzg.php?id=30047
兵团卫视,http://115.190.105.236/zbzg.php?id=30121
内蒙古卫视,http://115.190.105.236/zbzg.php?id=30045
北京卫视,http://115.190.105.236/zbzg.php?id=30024
北京卫视,http://115.190.105.236/bjtime.php?id=bjws
北京卫视4K,http://115.190.105.236/bjtime.php?id=bjws4k
厦门卫视,http://115.190.105.236/zbzg.php?id=30123
吉林卫视,http://115.190.105.236/zbzg.php?id=30037
四川卫视,http://115.190.105.236/zbzg.php?id=30034
四川卫视,http://115.190.105.236/sctv.php?id=scws
天津卫视,http://115.190.105.236/zbzg.php?id=30027
宁夏卫视,http://115.190.105.236/zbzg.php?id=30046
安徽卫视,http://115.190.105.236/zbzg.php?id=30030
山东卫视,http://115.190.105.236/zbzg.php?id=30028
山西卫视,http://115.190.105.236/zbzg.php?id=30044
广东卫视,http://115.190.105.236/zbzg.php?id=30025
广西卫视,http://115.190.105.236/zbzg.php?id=30040
康巴卫视,http://115.190.105.236/sctv.php?id=kbws
新疆卫视,http://115.190.105.236/zbzg.php?id=30051
江苏卫视,http://115.190.105.236/zbzg.php?id=30021
江西卫视,http://115.190.105.236/zbzg.php?id=30036
河北卫视,http://115.190.105.236/zbzg.php?id=30035
河南卫视,http://115.190.105.236/zbzg.php?id=30041
河南卫视,http://115.190.105.236/daxiang.php?id=hnws
浙江卫视,http://115.190.105.236/zbzg.php?id=30022
海南卫视,http://115.190.105.236/zbzg.php?id=30048
海南卫视,http://115.190.105.236/hainan.php?id=hnws
海峡卫视,http://115.190.105.236/fjtv.php?id=3
深圳卫视,http://115.190.105.236/zbzg.php?id=30026
湖北卫视,http://115.190.105.236/zbzg.php?id=30029
湖南卫视,http://115.190.105.236/zbzg.php?id=30000
甘肃卫视,http://115.190.105.236/zbzg.php?id=30042
西藏卫视,http://115.190.105.236/zbzg.php?id=30049
贵州卫视,http://115.190.105.236/zbzg.php?id=30039
辽宁卫视,http://115.190.105.236/zbzg.php?id=30033
重庆卫视,http://115.190.105.236/zbzg.php?id=30031
陕西卫视,http://115.190.105.236/zbzg.php?id=30050
青海卫视,http://115.190.105.236/zbzg.php?id=30043
黑龙江卫视,http://115.190.105.236/zbzg.php?id=30032
💰付费频道,#genre#
重温经典,http://115.190.105.236/zbzg.php?id=30167
🍁数字频道,#genre#
乐游,http://115.190.105.236/shweb.php?id=ly
北京纪实科教,http://115.190.105.236/bjtime.php?id=bjjs
卡酷少儿,http://115.190.105.236/bjtime.php?id=bjkk
文物宝库,http://115.190.105.236/daxiang.php?id=wwbk
武术世界,http://115.190.105.236/daxiang.php?id=wspd
第一财经,http://115.190.105.236/shweb.php?id=dycj
🚄四川频道,#genre#
四川乡村,http://115.190.105.236/sctv.php?id=scxc
四川妇女儿童,http://115.190.105.236/sctv.php?id=scfnet
四川影视文艺,http://115.190.105.236/sctv.php?id=scyswy
四川文化旅游,http://115.190.105.236/sctv.php?id=scwhly
四川新闻,http://115.190.105.236/sctv.php?id=scxw
四川经济,http://115.190.105.236/sctv.php?id=scjj
🚝福建频道,#genre#
福建公共,http://115.190.105.236/fjtv.php?id=6
福建新闻,http://115.190.105.236/fjtv.php?id=13
福建旅游,http://115.190.105.236/fjtv.php?id=8
福建经济,http://115.190.105.236/fjtv.php?id=9
福建综合,http://115.190.105.236/fjtv.php?id=4
🚑海南频道,#genre#
海南公共,http://115.190.105.236/hainan.php?id=ggpd
海南文旅,http://115.190.105.236/hainan.php?id=wlpd
海南新闻,http://115.190.105.236/hainan.php?id=xwpd
海南自贸,http://115.190.105.236/hainan.php?id=jjpd
🚓河南频道,#genre#
河南公共,http://115.190.105.236/daxiang.php?id=hngg
河南民生,http://115.190.105.236/daxiang.php?id=hnms
河南电视剧,http://115.190.105.236/daxiang.php?id=hndsj
河南都市,http://115.190.105.236/daxiang.php?id=hnds
🚲上海频道,#genre#
上海新闻综合,http://115.190.105.236/shweb.php?id=xwzh
上海都市,http://115.190.105.236/shweb.php?id=ds
🛩️北京频道,#genre#
北京影视,http://115.190.105.236/bjtime.php?id=bjys
北京文艺,http://115.190.105.236/bjtime.php?id=bjwy
北京新闻,http://115.190.105.236/bjtime.php?id=bjxw
北京生活,http://115.190.105.236/bjtime.php?id=bjsh
🚸少儿频道,#genre#
海南少儿,http://115.190.105.236/hainan.php?id=sepd
🏀体育频道,#genre#
五星体育,http://115.190.105.236/shweb.php?id=wxty
🧯樂玩公社,#genre#
新纪实,http://115.190.105.236/shweb.php?id=xjs
梨园,http://115.190.105.236/daxiang.php?id=hnly
魔都眼,http://115.190.105.236/shweb.php?id=mdy
